floor,blook,class,x,y,ac:a3:1e:62:18:f0,ac:a3:1e:62:18:e0,ac:a3:1e:62:5c:c0,ac:a3:1e:62:5c:d0,ac:a3:1e:61:fe:10,ac:a3:1e:61:fe:00,9c:1c:12:34:81:30,9c:1c:12:34:81:20,24:de:c6:3c:f3:80,time,telefon,açıklama
1,D,205,18.56,0,-50,-54,-66,-77,-73,-83,-81,-84,,14.49,e,sol en arka 2 .pencere yyanı duvar
1,D,205,18.56,0,-50,-58,-69,-77,-70,-83,-79,-83,,14.50,e,sol en arka 2 .pencere yanı duvar
1,D,205,18.56,0,-52,-54,-63,-77,-72,-71,-79,-82,,14.53,e,sol en arka 2 .pencere yyanı duvar
1,D,205,18.56,0,-63,-56,-69,-79,-82,-86,-86,-86,-86,15.02,d,sol en arka 2 .pencere yanı duvar
1,D,205,18.56,0,-59,-56,-70,,-77,-80,-90,,-80,15.03,d,sol en arka 2 .pencere yanı duvar
1,D,205,18.56,0,-69,-58,-70,,-82,,,-86,,15.07,d,sol en arka 2 .pencere yanı duvar
1,D,205,20.36,0,-34,-47,-62,-79,-86,,,,,14.57,e,sol en arka 3. pencere
1,D,205,20.36,0,-39,-47,-70,-71,-73,,,-83,,14.56,e,sol en arka 3. pencere
1,D,205,20.36,0,-40,-45,-65,-73,-72,,-72,-77,-75,15.01,e,sol en arka 3. pencere
1,D,205,20.36,0,-37,-46,-63,-76,-79,,-72,-77,-75,15.01,e,sol en arka 3. pencere
1,D,205,20.36,0,,-58,-70,,-82,-69,,-86,,15.08,d,sol en arka 3. pencere
1,D,205,20.36,0,-,-54,-71,-87,-84,-74,-88,-85,-86,15.10,d,sol en arka 3. pencere
1,D,205,20.36,0,-61,-52,-67,-88,-86,,-86,-86,,15.10,d,sol en arka 3. pencere
1,D,205,22.01,0,-61,-50,-63,-86,-86,,,-86,,15.10,d,sol kursü yanı en köşe
1,D,205,22.01,0,-60,-54,-77,-88,-86,-69,,-86,-86,15.13,d,sol kursü yanı en köşe
1,D,205,22.01,0,-50,-58,-66,,,,-76,,-82,15.11,e,sol kursü yanı en köşe
1,D,205,22.01,0,-45,-51,-65,-73,-72,,-74,-77,-78,15.11,e,sol kursü yanı en köşe
1,D,205,11.55,3.37,-46,-54,-79,-79,,,,-75,,12.15,e,en orta en arka sıra tarafı
1,D,205,11.55,3.37,-54,-60,-78,-80,,,-89,-81,,12.17,e,en orta en arka sıra tarafı
1,D,205,11.55,3.37,-57,-64,,-86,,,,-81,,12.21,e,en orta en arka sıra tarafı
1,D,205,11.55,3.37,-58,-53,-78,,,-72,-90,-76,,12.25,d,en orta en arka sıra tarafı
1,D,205,11.55,3.37,-63,-58,-78,-79,,,,,,12.25,d,en orta en arka sıra tarafı
1,D,205,11.55,3.37,-62,-58,-86,-79,,-86,,,-86,12.25,d,en orta en arka sıra tarafı
1,D,205,13.05,3.37,-51,-60,-74,-76,,,-87,-82,,12.29,e,en orta 2. sıra masanın orta noktası  
1,D,205,13.05,3.37,-49,-60,-74,-76,,,-85,-84,,12.29,e,en orta 2. sıra masanın orta noktası  
1,D,205,13.05,3.37,-58,-57,-78,-88,-90,-68,-90,-75,,12.32,d,en orta 2. sıra masanın orta noktası  
1,D,205,13.05,3.37,-63,-61,-76,-82,,,,,,12.34,d,en orta 2. sıra masanın orta noktası  
1,D,205,14.55,3.37,-51,-61,-74,-75,,,-85,-79,,12.37,e,en orta 4. sıra sandalye kısmı 
1,D,205,14.55,3.37,-53,-62,-74,-75,,,,-74,,12.37,e,en orta 4. sıra sandalye kısmı 
1,D,205,14.55,3.37,-60,-59,-76,-84,,-80,-90,-70,,12.40,d,en orta 4. sıra sandalye kısmı 
1,D,205,14.55,3.37,-58,-59,,,,,-90,,-86,12.42,d,en orta 4. sıra sandalye kısmı 
1,D,205,14.55,3.37,-56,-58,-78,-80,,-77,-90,-74,-86,12.42,d,en orta 4. sıra sandalye kısmı 
1,D,205,16.05,3.37,-50,-62,-74,-76,,,,-74,,12.46,e,en orta 5. sıra masa bası 
1,D,205,16.05,3.37,-50,-64,-78,-77,,,-85,-77,,12.49,e,en orta 5. sıra masa bası 
1,D,205,16.05,3.37,-52,-65,-78,,,,-85,-77,,12.49,e,en orta 5. sıra masa bası 
1,D,205,16.05,3.37,-59,-62,-86,,,-83,,-70,-80,12.50,d,en orta 5. sıra masa bası 
1,D,205,16.05,3.37,-57,-62,-86,-84,-90,-81,-86,-80,-83,12.50,d,en orta 5. sıra masa bası 
1,D,205,16.05,3.37,-55,-57,,,,-74,,-72,,12.51,d,en orta 5. sıra masa bası 
1,D,205,17.55,3.37,-55,-60,-78,-84,,,-85,-78,,12.55,e,en orta 7. sıra masa başı
1,D,205,17.55,3.37,-58,-55,-74,-77,,,,-85,,13.00,e,en orta 7. sıra masa başı
1,D,205,17.55,3.37,-56,-59,-81,-77,,-79,,-80,,12.59,e,en orta 7. sıra masa başı
1,D,205,17.55,3.37,-55,-55,-76,-86,,,-86,-67,,12.58,d,en orta 7. sıra masa başı
1,D,205,17.55,3.37,-59,-54,-76,-86,,-80,-90,-69,,13.00,d,en orta 7. sıra masa başı
1,D,205,19.05,3.37,-53,-57,,-74,,-64,-79,,,11.57,e,en orta 9.sıra sıra tarafı
1,D,205,19.05,3.37,-53,-38,,-74,,-64,-74,,,11.57,e,en orta 9.sıra sıra tarafı
1,D,205,19.05,3.37,-53,-38,,-74,,-64,-74,,,11.59,e,en orta 9.sıra sıra tarafı
1,D,205,19.05,3.37,-68,-49,-70,,,-63,,,,12.02,d,en orta 9.sıra sıra tarafı
1,D,205,19.05,3.37,-71,-46,-73,-84,-84,-63,-82,,,12.02,d,en orta 9.sıra sıra tarafı
1,D,205,19.05,3.37,-72,-42,-78,-84,-84,-67,-82,,,12.02,d,en orta 9.sıra sıra tarafı
1,D,205,19.05,3.37,-70,-40,-80,,-90,-67,-86,-80,,12.03,d,en orta 9.sıra sıra tarafı
1,D,205,20.55,3.37,-65,-40,-74,-83,,-67,-86,,,12.09,d,en orta basamak başı
1,D,205,20.55,3.37,-62,-41,-74,-82,-84,,,,,12.09,d,en orta basamak başı
1,D,205,20.55,3.37,-64,-42,-72,,,-67,,,,12.09,d,en orta basamak başı
1,D,205,20.55,3.37,-53,-38,,-74,,-64,-74,,,12.12,e,en orta basamak başı
1,D,205,20.55,3.37,-57,-46,,-76,,-62,-78,,,12.12,e,en orta basamak başı
1,D,205,20.55,3.37,-56,-45,,-75,,-63,-77,,,12.12,e,en orta basamak başı
1,D,205,20.55,3.37,-52,-39,,-73,,-62,-78,,,12.24,e,en orta tahta onu 
1,D,205,22.05,3.37,-49,-34,,-71,,-59,-80,,,12.24,e,en orta tahta onu 
1,D,205,22.05,3.37,-63,-43,-68,-79,-83,-66,,-75,,12.26,d,en orta tahta onu 
1,D,205,22.05,3.37,-64,-40,-68,-79,-84,-63,-82,-65,,12.27,d,en orta tahta onu 
1,D,205,11.67,4.98,-59,-42,,-71,,-64,-80,,,12.32,e,sağ taraf en arka 1. sara en orta
1,D,205,11.67,4.98,-61,-47,,,,-70,-84,,-88,12.36,e,sağ taraf 1. sara en orta
