floor,blook,class,x,y,açıklama,time,telefon,ac:a3:1e:62:18:e0,ac:a3:1e:62:18:f0,ac:a3:1e:61:fe:00,ac:a3:1e:61:fe:10,ac:a3:1e:62:5c:c0,ac:a3:1e:62:5c:d0,ac:a3:1e:62:32:20,ac:a3:1e:62:32:30,9c:1c:12:34:81:20,9c:1c:12:34:81:30,24:de:c6:3c:f3:80
1,D,206,30.52,503,en sağ  9. sıra,16.02,e,-64,-71,-66,,-79,,,,-79,,
1,D,206,30.52,503,en sağ  9. sıra,16.02,e,-68,-73,-66,,-79,,,,-79,,
1,D,206,30.52,503,en sağ  9. sıra,16.05,d,-69,-90,-75,-84,,,-86,-79,-86,,
1,D,206,30.52,503,en sağ  9. sıra,16.06,d,-70,-90,-74,,,,,-79,-86,,
1,D,206,34.12,503,en sağ kursu yanı sağ 10. sıra önu,16.10,d,-64,-81,-69,-83,-81,,-86,-86,-86,,-86
1,D,206,34.12,503,en sağ kursu yanı sağ 10. sıra önu,16.10,d,-65,-82,-67,-82,-76,,,-86,-86,,
1,D,206,34.12,503,en sağ kursu yanı sağ 10. sıra önu,16.13,e,-65,-73,-69,,-79,,,,-79,,
1,D,206,34.12,503,en sağ kursu yanı sağ 10. sıra önu,16.14,e,-64,-73,-72,,,,-83,,,,
1,D,206,22.45,338,en orta en arka 1. sıra yanı,16.19,e,-52,-69,-64,,-70,,-83,,,,
1,D,206,22.45,338,en orta en arka 1. sıra yanı,16.21,e,-49,,-70,,-76,,-90,,,,
1,D,206,22.45,338,en orta en arka 1. sıra yanı,16.23,d,-53,-74,-65,-73,-80,-90,-80,,-86,,-86
1,D,206,22.45,338,en orta en arka 1. sıra yanı,16.24,d,-57,-79,-62,-73,-86,-90,,,-80,,
1,D,206,23.95,338,en orta 2.sıra yanı,16.26,d,-57,-78,-61,-74,-86,-90,,,-83,,
1,D,206,23.95,338,en orta 2.sıra yanı,16.33,d,-58,-80,-71,-76,-86,,,,-86,,-86
1,D,206,23.95,338,en orta 2.sıra yanı,16.34,e,-53,-70,-68,,-75,,-78,,,,
1,D,206,23.95,338,en orta 2.sıra yanı,16.35,e,-56,-70,-68,,-81,,-78,,,,
1,D,206,25.95,338, en orta 4.sıra yanı ,15.23,d,-66,-88,-72,-81,-80,-87,-66,,-76,-84,-86
1,D,206,25.95,338, en orta 4.sıra yanı ,15.23,d,-65,-86,-70,-80,,-90,,,,,
1,D,206,25.95,338, en orta 4.sıra yanı ,15.22,e,-56,-68,-65,-72,-77,,-76,,,,
1,D,206,25.95,338, en orta 4.sıra yanı ,15.22,e,-55,-66,-65,-72,-77,-82,-76,-85,,-84,
1,D,206,25.95,338, en orta 4.sıra yanı ,15.22,e,-55,-64,-72,-72,,,-76,-87,,,
1,D,206,27.95,338,en orta 2. pencere yanı,15.25,d,-68,-84,-78,-81,-86,-90,-74,-90,-86,,
1,D,206,25.95,338,en orta 2. pencere yanı,15.25,d,-63,-84,-76,-81,-86,,,-90,-86,,
1,D,206,25.95,338,en orta 2. pencere yanı,15.25,e,-62,-72,-77,-69,-71,,-70,,,,
1,D,206,25.95,338,en orta 2. pencere yanı,15.25,e,-60,-72,-77,-69,-71,,-70,,,-84,
1,D,206,25.95,338,en orta 2. pencere yanı,15.25,e,-59,-75,-77,-71,,,,,,-84,
1,D,206,27.95,338,en orta 7. sıra yanı ,15.27,d,-61,-85,-80,-83,-86,,-73,-88,-86,,
1,D,206,27.95,338,en orta 7. sıra yanı ,15.27,d,-62,-82,-86,-83,-83,,-74,-86,,,
1,D,206,27.95,338,en orta 7. sıra yanı ,15.27,e,-54,-75,-73,-71,-72,,,,,-84,
1,D,206,27.95,338,en orta 7. sıra yanı ,15.28,e,-52,-75,-71,-71,-72,,,,,-84,
1,D,206,27.95,338,en orta 7. sıra yanı ,15.28,e,-50,-76,-69,-71,-72,,,,,,
1,D,206,29.95,338,en orta 3. pencere yanı,15.30,d,-62,-84,-80,-82,-80,,,-86,-86,,
1,D,206,29.95,338,en orta 3. pencere yanı,15.30,d,-63,-86,,,,,,,-86,,
1,D,206,29.95,338,en orta 3. pencere yanı,15.30,e,-60,-77,-77,-73,-72,,,,,,
1,D,206,"29.95",338,en orta 3. pencere yanı,15.30,e,-71,-78,-76,-75,,,,,,,
1,D,206,31.95,338,en orta kürsü yanı,15.32,d,-65,-82,,-84,-86,,,-90,-86,,
1,D,206,31.95,338,en orta kürsü yanı,15.33,d,-68,-79,,-87,-86,,-72,-90,-86,,
1,D,206,31.95,338,en orta kürsü yanı,15.33,e,-70,-73,-81,-78,,-89,,,,,
1,D,206,31.95,338,en orta kürsü yanı,15.35,e,-70,-69,-74,-76,,-89,,,-82,-80,
1,D,206,33.45,338,en orta tahta önü,15.34,d,-69,-80,-80,-90,,,-76,-90,-86,,-86
1,D,206,33.45,338,en orta tahta önü,15.36,d,-70,-84,-72,-82,-76,,-74,,,,
1,D,206,33.45,338,en orta tahta önü,15.39,e,-65,-70,-73,-72,,,,,-82,-80,
1,D,206,33.45,338,en orta tahta önü,15.39,e,-62,-69,-73,-72,,,,,-82,-80,
1,D,206,33.45,338,en orta tahta önü,15.39,e,-60,-69,,-74,,,,,-82,-81,
1,D,206,22.30,503,en sağ en köşe 1. sıra tarafı,15.38,d,-57,-77,-73,,-72,-86,,-90,,-82,-86
1,D,206,22.30,503,en sağ en köşe 1. sıra tarafı,15.38,d,-58,-79,,-73,-76,,,-90,,-82,
1,D,206,22.30,503,en sağ en köşe 1. sıra tarafı,15.41,e,-59,-70,-68,-70,,-76,,,,-80,
1,D,206,22.30,503,en sağ en köşe 1. sıra tarafı,15.41,e,-58,-70,-68,-68,,-76,,,-85,-79,
1,D,206,24.15,503,en sağ 1. pencere karşısı duvar,15.42,d,-52,-80,-65,-84,-74,,-80,,-80,-88,-86
