class,blook,floor,x,y,notes,ac:a3:1e:62:18:f0,ac:a3:1e:62:18:e0,ac:a3:1e:62:5c:c0,ac:a3:1e:62:5c:d0,24:de:c6:3c:f3:80,ac:a3:1e:61:fe:10,ac:a3:1e:61:fe:00,9c:1c:12:34:81:30,9c:1c:12:34:81:20,ac:a3:1e:62:32:20,ac:a3:1e:62:32:30
204,D,1,7.23,0,2. pencere yanı duvara,-70,-75,-69,-100,-76,-100,-100,-100,-100,-100,-100
204,D,1,7.23,0,2. pencere yanı duvara,-100,-63,-65,-68,-100,-100,-100,-100,-100,-100,-100
204,D,1,2025-03-09 00:00:00,0,en arka sol 3. pencere (kürsü) yanı,-70,-72,-66,-79,-86,-100,-100,-100,-100,-100,-100
204,D,1,2025-03-09 00:00:00,0,en arka sol 3. pencere (kürsü) yanı,-73,-68,-66,-73,-86,-100,-100,-100,-100,-100,-100
204,D,1,2025-03-09 00:00:00,0,en arka sol 3. pencere (kürsü) yanı,-72,-72,-64,-74,-86,-100,-100,-100,-100,-100,-100
204,D,1,2025-03-09 00:00:00,0,en arka sol 3. pencere (kürsü) yanı,-66,-67,-63,-74,-100,-100,-100,-100,-100,-100,-100
204,D,1,2025-03-09 00:00:00,0,en arka sol 3. pencere (kürsü) yanı,-63,-67,-66,-66,-100,-100,-100,-100,-100,-100,-100
204,D,1,2025-03-09 00:00:00,0,en arka sol 3. pencere (kürsü) yanı,-63,-100,-70,-64,-100,-100,-100,-100,-100,-100,-100
204,D,1,11.15,0,en köse ögretmenler masası bulunduğu köşe,-73,-63,-66,-79,-100,-100,-100,-100,-100,-100,-100
204,D,1,11.15,0,en köse ögretmenler masası bulunduğu köşe,-67,-69,-68,-75,-100,-100,-100,-100,-100,-100,-100
204,D,1,11.15,0,en köse ögretmenler masası bulunduğu köşe,-100,-77,-70,-69,-100,-100,-100,-100,-100,-100,-100
204,D,1,2025-10-10 00:00:00,2025-10-01 00:00:00,ögretmen masası,-79,-81,-60,-85,-86,-100,-100,-100,-100,-100,-100
204,D,1,2025-10-10 00:00:00,2025-10-01 00:00:00,ögretmen masası,-79,-76,-58,-100,-86,-100,-100,-100,-100,-100,-100
204,D,1,2025-10-10 00:00:00,2025-10-01 00:00:00,ögretmen masası,-100,-74,-59,-78,-86,-100,-100,-100,-100,-100,-100
204,D,1,2025-10-10 00:00:00,2025-10-01 00:00:00,ögretmen masası,-67,-72,-59,-73,-100,-100,-100,-100,-100,-100,-100
204,D,1,2025-10-10 00:00:00,2025-10-01 00:00:00,ögretmen masası,-72,-73,-68,-73,-100,-100,-100,-100,-100,-100,-100
204,D,1,0.40,3.32,en orta en arka duvar,-86,-74,-64,-80,-100,-100,-100,-100,-100,-100,-100
204,D,1,0.40,3.32,en orta en arka duvar,-82,-71,-63,-74,-100,-100,-100,-100,-100,-100,-100
204,D,1,0.40,3.32,en orta en arka duvar,-78,-69,-63,-68,-100,-100,-100,-100,-100,-100,-100
204,D,1,0.40,3.32,en orta en arka duvar,-88,-80,-66,-82,-100,-100,-100,-100,-100,-100,-100
204,D,1,0.40,3.32,en orta en arka duvar,-100,-80,-80,-81,-100,-100,-100,-100,-100,-100,-100
204,D,1,0.40,3.32,en orta en arka duvar,-86,-86,-74,-100,-86,-100,-100,-100,-100,-100,-100
204,D,1,1.90,3.32,en orta en arka 2. sıra duvar,-79,-75,-65,-74,-100,-100,-100,-100,-100,-100,-100
204,D,1,1.90,3.32,en orta en arka 2. sıra duvar,-76,-75,-67,-75,-100,-100,-100,-100,-100,-100,-100
204,D,1,1.90,3.32,en orta en arka 2. sıra duvar,-81,-74,-76,-77,-100,-100,-100,-100,-100,-100,-100
204,D,1,1.90,3.32,en orta en arka 2. sıra duvar,-80,-72,-74,-75,-100,-100,-100,-100,-100,-100,-100
204,D,1,1.90,3.32,en orta en arka 2. sıra duvar,-80,-70,-73,-74,-100,-100,-100,-100,-100,-100,-100
204,D,1,1.90,3.32,en orta en arka 2. sıra duvar,-90,-73,-73,-81,-100,-100,-100,-100,-100,-100,-100
204,D,1,1.90,3.32,en orta en arka 2. sıra duvar,-90,-80,-76,-84,-86,-100,-100,-100,-100,-100,-100
204,D,1,1.90,3.32,en orta en arka 2. sıra duvar,-88,-86,-70,-80,-100,-100,-100,-100,-100,-100,-100
204,D,1,3.40,3.32,en orta en arka 4. sıra oturak tarafı koltuk başı,-75,-71,-70,-74,-100,-100,-100,-100,-100,-100,-100
204,D,1,3.40,3.32,en orta en arka 4. sıra oturak tarafı koltuk başı,-74,-72,-69,-74,-100,-100,-100,-100,-100,-100,-100
204,D,1,3.40,nan,en orta en arka 4. sıra oturak tarafı koltuk başı,-82,-71,-66,-80,-100,-100,-100,-100,-100,-100,-100
204,D,1,3.40,3.32,en orta en arka 4. sıra oturak tarafı koltuk başı,-82,-76,-70,-74,-100,-100,-100,-100,-100,-100,-100
204,D,1,3.40,3.32,en orta en arka 4. sıra oturak tarafı koltuk başı,-83,-81,-74,-73,-100,-100,-100,-100,-100,-100,-100
204,D,1,3.40,3.32,en orta en arka 4. sıra oturak tarafı koltuk başı,-100,-74,-76,-82,-100,-100,-100,-100,-100,-100,-100
204,D,1,3.40,3.32,en orta en arka 4. sıra oturak tarafı koltuk başı,-84,-71,-71,-84,-86,-100,-100,-100,-100,-100,-100
204,D,1,3.40,3.32,en orta en arka 4. sıra oturak tarafı koltuk başı,-84,-69,-67,-86,-100,-100,-100,-100,-100,-100,-100
204,D,1,4.90,3.32,en orta en arka 5. sıra koltuk masa ortası,-78,-70,-69,-73,-77,-100,-100,-100,-100,-100,-100
204,D,1,4.90,3.32,en orta en arka 5. sıra koltuk masa ortası,-74,-69,-67,-70,-77,-100,-100,-100,-100,-100,-100
204,D,1,4.90,3.32,en orta en arka 5. sıra koltuk masa ortası,-70,-68,-65,-67,-77,-100,-100,-100,-100,-100,-100
204,D,1,4.90,3.32,en orta en arka 5. sıra koltuk masa ortası,-72,-71,-66,-69,-77,-100,-100,-100,-100,-100,-100
204,D,1,4.90,3.32,en orta en arka 5. sıra koltuk masa ortası,-75,-75,-67,-71,-100,-100,-100,-100,-100,-100,-100
204,D,1,4.90,3.32,en orta en arka 5. sıra koltuk masa ortası,-80,-69,-70,-100,-86,-100,-100,-100,-100,-100,-100
204,D,1,4.90,3.32,en orta en arka 5. sıra koltuk masa ortası,-80,-76,-67,-77,-86,-100,-100,-100,-100,-100,-100
204,D,1,4.90,3.32,en orta en arka 5. sıra koltuk masa ortası,-78,-80,-64,-81,-80,-100,-100,-100,-100,-100,-100
204,D,1,6.40,3.32,en orta en arka 7. sıra koltuk tarafı,-64,-100,-64,-77,-100,-100,-100,-100,-100,-100,-100
